Date,Open,High,Low,Close*,Adj Close**,Volume
16-Dec-21,"36,036.28","36,189.83","35,778.21","35,897.64","35,897.64","473,620,000"
17-Dec-21,"35,800.11","35,800.11","35,284.26","35,365.44","35,365.44","750,480,000"
20-Dec-21,"35,222.12","35,222.12","34,665.50","34,932.16","34,932.16","386,590,000"
21-Dec-21,"35,069.50","35,508.96","35,069.50","35,492.70","35,492.70","346,080,000"
22-Dec-21,"35,491.71","35,764.67","35,433.13","35,753.89","35,753.89","281,930,000"
23-Dec-21,"35,782.42","36,060.99","35,782.42","35,950.56","35,950.56","247,420,000"
27-Dec-21,"35,954.48","36,306.61","35,954.48","36,302.38","36,302.38","244,350,000"
28-Dec-21,"36,302.99","36,527.26","36,302.99","36,398.21","36,398.21","239,090,000"
29-Dec-21,"36,421.14","36,571.55","36,396.19","36,488.63","36,488.63","213,480,000"
30-Dec-21,"36,522.48","36,679.44","36,372.13","36,398.08","36,398.08","205,620,000"
