,tweet,date,id,location,id_user,score,Country,Country_real,Compound
935,RT @IsabellaMDeLuca: @BillyBaldwin If you’re going to boycott Tesla why wouldn’t you boycott Twitter? @elonmusk owns both.,2022-12-11 23:59:15+00:00,1602090669752950784,,1511828350817476611,"{'neg': 0.235, 'neu': 0.765, 'pos': 0.0, 'compound': -0.5574}",,,-0.5574
936,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:14+00:00,1602090664048709634,"New York, NY",961787597990387713,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New York NY,United States,0.0
937,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:14+00:00,1602090663344214016,"Wyoming, USA",261868146,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Wyoming USA,United States,0.0
938,"RT @NickHanauer: Well, I WAS a Tesla customer. Just cancelling that car I have on order now.",2022-12-11 23:59:12+00:00,1602090656762978304,"San Diego, CA",2195403985,"{'neg': 0.113, 'neu': 0.755, 'pos': 0.132, 'compound': 0.0772}",San Diego CA,United States,0.0772
939,"RT @PalimenoForGAD1: @elonmusk You’re scum. Nothing matters as long as you stay entertained and keep minerals flowing for your EVs. 

WTF i…",2022-12-11 23:59:12+00:00,1602090656188571648,,1048530829775970305,"{'neg': 0.205, 'neu': 0.696, 'pos': 0.099, 'compound': -0.4417}",,,-0.4417
940,RT @JHWeissmann: Fed hikes are really a double-whammy for Musk. They raise his interest payments on the floating rate portion of his Twitte…,2022-12-11 23:59:09+00:00,1602090642699591683,,19842520,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.4588}",,,0.4588
941,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:09+00:00,1602090642481577985,"Cheshire, CT",1569017881098158080,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Cheshire CT,United States,0.0
942,"RT @stuartpstevens: To all the Tesla owners out there, do you really want to support a man who has Steve Bannon’s politics with Donald Trum…",2022-12-11 23:59:08+00:00,1602090640992440320,Hawaii/Arizona,155033864,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.5509}",HawaiiArizona,,0.5509
943,"@Bill9MileParker @brianklaas ""Tesla man ruin Twitter with truth and free speech; me no like Tesla man's car no more.""",2022-12-11 23:59:07+00:00,1602090633770024964,,50113414,"{'neg': 0.28, 'neu': 0.444, 'pos': 0.276, 'compound': -0.0258}",,,-0.0258
944,"@BillyBaldwin I would never buy a tesla - but I agree, Fauci needs to be hardly investigated!",2022-12-11 23:59:05+00:00,1602090627851771905,Switzerland,193281509,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.5487}",Switzerland,Schweiz/Suisse/Svizzera/Svizra,0.5487
945,"@fabienmajor @levetot_guy Mon premier véhicule électrique est une Mach-e, je suis très satisfait mais avoir su que… https://t.co/E1NbyoYQSR",2022-12-11 23:59:05+00:00,1602090625557577731,Quebec,27159052,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Quebec,Canada,0.0
946,"RT @NickHanauer: Well, I WAS a Tesla customer. Just cancelling that car I have on order now.",2022-12-11 23:59:03+00:00,1602090618225762304,Hollywood,300548556,"{'neg': 0.113, 'neu': 0.755, 'pos': 0.132, 'compound': 0.0772}",Hollywood,United States,0.0772
947,RT @IsabellaMDeLuca: @BillyBaldwin If you’re going to boycott Tesla why wouldn’t you boycott Twitter? @elonmusk owns both.,2022-12-11 23:59:03+00:00,1602090617949065218,oilfield/oklahoma/texas,431077860,"{'neg': 0.235, 'neu': 0.765, 'pos': 0.0, 'compound': -0.5574}",oilfieldoklahomatexas,,-0.5574
948,"RT @AFC_GLEN: My Wife’s friend is stuck on the m25 because of the Snow. 

She has a Tesla. She can’t keep the engine on because the battery…",2022-12-11 23:59:02+00:00,1602090614572683264,Essex,22203361,"{'neg': 0.068, 'neu': 0.822, 'pos': 0.11, 'compound': 0.296}",Essex,United Kingdom,0.296
